Localidad,Latitud,Longitud,Tipo_place,population,osm_type,osm_id,name_normalized
Palco Grande,-36.9834423,-73.0011388,hamlet,31.0,node,5706799653,palco grande
Palena,-43.6178268,-71.8039587,village,1045.0,node,214191852,palena
Palermo,-33.6291404,-70.8026441,hamlet,430.0,node,5992420505,palermo
Palermo Bajo,-37.7746497,-72.2033715,hamlet,76.0,node,5866527366,palermo bajo
Palestina,-23.8783333,-69.7350087,locality,,node,3011201804,palestina
Palguín,-39.6524218,-72.3559911,hamlet,384.0,node,6078278030,palguin
Palihue,-41.4833374,-73.6784518,hamlet,132.0,node,11836372192,palihue
Palihue Centro,-37.3229565,-72.8355146,hamlet,21.0,node,6211712113,palihue centro
Palihue Sur,-37.3299864,-72.8092075,hamlet,13.0,node,6211712109,palihue sur
Pallahuala,-37.0803892,-71.9692444,hamlet,86.0,node,3785702442,pallahuala
Pallauquén,-37.1638478,-72.5506532,hamlet,142.0,node,6139835579,pallauquen
Palma Rosa,-36.0968284,-71.8694687,hamlet,233.0,node,6453766346,palma rosa
Palmas de Nos,-33.6226548,-70.6858024,neighbourhood,,node,5679741934,palmas de nos
Palmas de San Ramón III,-29.9806337,-71.2437683,neighbourhood,,node,10748486489,palmas de san ramon iii
Palmas de San Ramón IV,-29.9805361,-71.2432641,neighbourhood,,node,10748486488,palmas de san ramon iv
Palmilla,-34.5960542,-71.3624782,village,2366.0,node,214194967,palmilla
Palmilla Alto,-37.5182956,-72.9262591,hamlet,,node,7818281678,palmilla alto
Palmilla Bajo,-35.7907695,-71.7567301,hamlet,220.0,node,5138793331,palmilla bajo
Palmilla de Reto,-34.5570142,-71.6586675,hamlet,29.0,node,214199251,palmilla de reto
Palmilla del Rosal,-34.7851997,-71.4994263,hamlet,10.0,node,214212161,palmilla del rosal
Palmilla Norte,-34.5836075,-71.3751215,hamlet,23.0,node,12141465400,palmilla norte
Palmira Alto,-35.4969801,-71.5912378,hamlet,63.0,node,5915107587,palmira alto
Palmira Bajo,-35.4912499,-71.602664,hamlet,206.0,node,5915107586,palmira bajo
Palo Blanco,-35.2656643,-71.4891744,hamlet,71.0,node,6209426766,palo blanco
Palo Botado,-37.0199868,-72.6800108,hamlet,27.0,node,6139836404,palo botado
Palo Colorado,-32.0745128,-71.4960329,hamlet,23.0,node,5952514671,palo colorado
Palo Muerto,-39.9071834,-73.5058651,hamlet,48.0,node,5281244744,palo muerto
Palo Negro,-32.132673,-71.3582681,hamlet,84.0,node,2210582895,palo negro
Palo Santo,-41.373856,-73.6501659,hamlet,65.0,node,6006281054,palo santo
Palo Seco,-35.5332739,-71.5249014,hamlet,184.0,node,5915107589,palo seco
Palomar,-32.7725358,-70.7999324,hamlet,354.0,node,214199816,palomar
Palomares,-37.0261885,-73.1763697,neighbourhood,,node,8364823617,palomares
Palometán,-37.0344537,-72.6617289,hamlet,14.0,node,11240379473,palometan
Palos Quemados,-30.7759389,-70.9667283,hamlet,133.0,node,5955738010,palos quemados
Palpana,-33.0116089,-71.3984822,neighbourhood,,way,849046230,palpana
Palqui,-33.8509231,-71.4901381,hamlet,10.0,node,214183545,palqui
Palqui Centro,-42.4097062,-73.5286832,hamlet,226.0,node,12774366146,palqui centro
Palqui Estero,-42.4058593,-73.5173059,hamlet,75.0,node,214208196,palqui estero
Palquibudi,-35.0351651,-71.535699,hamlet,238.0,node,214233586,palquibudi
Palquibudi Centro,-35.0330273,-71.5416169,hamlet,256.0,node,5928058502,palquibudi centro
Palquico,-32.2531923,-71.1380501,hamlet,239.0,node,2975544297,palquico
Pama Abajo,-31.1606472,-71.0543376,hamlet,28.0,node,6203754851,pama abajo
Pama Arriba,-31.2295166,-71.042454,hamlet,90.0,node,214223391,pama arriba
Pampa Alegre,-53.07289,-70.8651236,hamlet,491.0,node,5905352107,pampa alegre
Pampa Algodonal,-18.5776758,-69.9751289,hamlet,239.0,node,5821044688,pampa algodonal
Pampa Anita,-24.9,-69.733333,locality,,node,214231893,pampa anita
Pampa Bonita,-40.9876246,-73.5729933,hamlet,27.0,node,12787768276,pampa bonita
Pampa Camarones,-18.8621433,-70.218274,hamlet,29.0,node,5755276795,pampa camarones
Pampa Concordia,-18.3621779,-70.3038901,hamlet,130.0,node,5754988722,pampa concordia
Pampa de Quipinta,-19.149416,-69.5782382,hamlet,,node,2983227453,pampa de quipinta
Pampa Elena,-24.866667,-69.816667,locality,,node,214203108,pampa elena
Pampa Fidelia,-24.95,-69.666667,locality,,node,214182950,pampa fidelia
Pampa Grande,-30.8388972,-70.6687269,hamlet,83.0,node,214192734,pampa grande
Pampa Guanaco,-54.0510558,-68.8031244,hamlet,62.0,node,5047307291,pampa guanaco
Pampa Ingeniero,-37.8095551,-72.7000415,neighbourhood,,node,5727073416,pampa ingeniero
Pampa Nacha,-24.9439954,-69.8833182,locality,,node,214227538,pampa nacha
Pampa Negrón,-40.3216654,-72.9683376,hamlet,416.0,node,6209412534,pampa negron
Pampa Pilmaiquén,-39.9369227,-71.902723,locality,,node,6707983899,pampa pilmaiquen
Pampa Redonda,-53.1250796,-70.9300625,neighbourhood,,node,8283993379,pampa redonda
Pampa San Martín,-18.3640319,-70.0174878,hamlet,12.0,node,2977522213,pampa san martin
Pampa Seguel,-46.9860054,-72.7883613,hamlet,19.0,node,5047526252,pampa seguel
Pampa Trigal,-19.4777189,-69.3420768,hamlet,,node,7838623747,pampa trigal
Pampa Unión,-23.079543,-69.4908968,locality,,node,214217477,pampa union
Pampa Verde,-20.2593285,-69.7540856,hamlet,21.0,node,6212203109,pampa verde
Pampa Yolanda,-24.966667,-70.15,locality,,node,214211527,pampa yolanda
Pampanune,-18.9658715,-69.6961902,hamlet,13.0,node,214183782,pampanune
Pamparraza,-35.8582918,-71.6091657,hamlet,63.0,node,5915016404,pamparraza
Pamputa,-17.747187,-69.7059542,hamlet,,node,214229175,pamputa
Pan de Azúcar,-36.6747954,-72.1171331,hamlet,129.0,node,6043355419,pan de azucar
Panamericana Norte,-33.2593714,-70.7496866,hamlet,53.0,node,6108202426,panamericana norte
Panamericana Oriente,-35.901092,-71.648621,hamlet,75.0,node,6453677977,panamericana oriente
Panamericana Poniente,-35.9244012,-71.6605139,hamlet,58.0,node,6453677976,panamericana poniente
Panamericana Sur,-33.6375428,-70.7153249,hamlet,195.0,node,5733704401,panamericana sur
Pancho Curamil,-38.1072894,-72.4135759,hamlet,45.0,node,5438715541,pancho curamil
Pancul,-39.8469846,-72.7937645,hamlet,286.0,node,6001873945,pancul
Pangal,-35.622768,-71.6985691,hamlet,122.0,node,5884352778,pangal
Pangal del Laja,-37.1799446,-72.2068486,hamlet,129.0,node,214203773,pangal del laja
Pangalillo,-32.0930438,-71.2663928,hamlet,192.0,node,5947817203,pangalillo
Pangalillo Norte,-35.3499833,-72.411285,hamlet,91.0,node,5923160326,pangalillo norte
Pangalillo Sur,-35.3568524,-72.4092465,hamlet,29.0,node,5923160324,pangalillo sur
Pangue,-36.4002664,-72.8002596,hamlet,74.0,node,5142167159,pangue
Pangue Abajo,-35.3433073,-71.4664975,hamlet,361.0,node,4653630419,pangue abajo
Pangue Abajo Oriente,-35.3471212,-71.4558345,hamlet,29.0,node,5921531484,pangue abajo oriente
Pangue Abajo Poniente,-35.3478126,-71.4825601,hamlet,51.0,node,5921531483,pangue abajo poniente
Pangue Alto,-33.2642898,-71.2025371,hamlet,100.0,node,214203200,pangue alto
Pangue Arriba,-35.337617,-71.4370161,hamlet,723.0,node,5921531481,pangue arriba
Pangue Bajo,-33.2684177,-71.194282,hamlet,,node,10979924646,pangue bajo
Pangue Peñaflor,-36.4280678,-72.4174494,hamlet,105.0,node,5923665658,pangue penaflor
